蒂	渧
蒋	蔣
蒙	懞
蒜	祘
蒸	篜
蓉	嫆
蓝	藍
蓬	莑
蔑	篾
蔓	嫚
蔚	墛
蔷	嫱
蔽	幣
蕊	惢
蕴	藴
蕾	檑
薪	蕲
藏	蔵
藐	邈
藕	耦
藤	駦
蘑	嚤
虎	唬
虐	疟
虑	慮
虚	歔
虫	蟲
虹	渱
蚂	犸
蚊	螡
蚕	蛬
蛇	虵
蛋	疍
蛛	咮
蛮	蠻
蛾	睋
蜗	窩
蜘	倁
蜜	滵
蜡	臘
蝴	箶
蝶	渫
融	瀜
血	洫
行	垳
衔	銜
衡	蘅
衣	扆
补	卟
表	錶
衫	釤
衰	缞
袁	媴
袄	仸
袍	垉
袜	襪
裂	煭
装	裝
裙	峮
裤	褲
褂	啩
褪	蹆
襟	噤
西	覀
要	婹
见	見
观	觀
规	規
视	視
览	灠
觉	覺
言	訁
誉	謍
警	檠
计	計
订	忊
认	認
讨	討
让	讓
训	訓
讯	卂
记	汜
讲	講
讶	冴
许	汻
论	囵
设	蔎
访	汸
诀	吷
证	姃
诅	蒩
识	識
诈	怍
诉	訴
诊	沴
词	詞
译	譯
试	鉽
诗	詩
诚	諴
话	話
诡	詭
询	咰
该	姟
详	詳
诬	莁
语	娪
误	誤
说	説
诵	誦
请	埥
诸	渚
诺	喏
读	渎
课	錁
谁	誰
调	蜩
谅	涼
谈	談
谋	湈
谍	媟
谎	巟
谐	喈
谓	媦
谜	洣
谢	塮
谣	愮
谦	嗛
谨	殣
谬	繆
谱	鐠
谷	唂
豆	荳
象	潒
豪	濠
貌	邈
贝	赑
贞	浈
负	萯
贡	貢
财	財
责	嫧
贤	賢
败	敗
货	貨
质	質
贪	貪
贫	貧
贬	貶
购	媾
贯	遦
贱	濺
贴	萜
贵	貴
贸	貿
费	曊
贺	哿
贼	賊
赁	賃
赃	賍
资	粢
赋	賦
赌	帾
赏	賞
赐	賜
赔	婄
赖	攋
赚	賺
赛	噻
赞	瓒
赠	熷
赤	哧
走	趉
赵	趙
赶	迀
超	趫
越	樾
足	娖
趴	汃
跃	跞
跋	柭
跌	瓞
跑	垉
距	岠
跟	茛
跪	蛫
路	蕗
跳	朓
踌	帱
踏	沓
踩	棌
踪	琮
蹄	渧
蹈	稲
蹦	嘣
蹬	簦
蹭	竲
蹲	壿
躁	璪
身	裑
躬	匑
躯	軀
躲	躱
车	車
轨	匦
轩	蓒
转	啭
轮	囵
软	軟
轰	轟
轻	輕
载	酨
较	珓
辆	唡
辈	輩
辉	媈
输	瀭
辖	轄
辛	厗
辞	辭
辟	澼
辨	辧
辩	辮
辫	辮
辰	宸
辱	媷
边	笾
达	垯
迂	扜
迅	卂
过	過
迈	邁
迎	迊
运	運
近	菦
还	還
这	適
进	琎
远	逺
违	違
连	涟
迟	呎
迪	廸
迫	廹
述	沭
迷	洣
迸	逬
追	搥
退	蹆
送	鎹
逃	洮
逆	屰
选	選
